timestamp,symbol,open,high,low,close,trades,volume,vwap,lastSize,turnover,homeNotional,foreignNotional
2020-05-29 00:00:00+00:00,XBTUSD,9509.0,9509.5,9509.0,9509.0,13,1291,9509.5,509.0,13576156,0.13576156,1291.0
2020-05-29 00:01:00+00:00,XBTUSD,9509.0,9525.5,9509.0,9509.5,94,18245,9515.6532,92.0,191745228,1.91745228,18245.0
2020-05-29 00:02:00+00:00,XBTUSD,9509.5,9510.0,9509.5,9510.0,11,119,9510.2235,1.0,1251290,0.0125129,119.0
2020-05-29 00:03:00+00:00,XBTUSD,9510.0,9510.0,9509.5,9509.5,18,4003,9510.2235,100.0,42095048,0.4209504800000001,4003.0
2020-05-29 00:04:00+00:00,XBTUSD,9509.5,9510.5,9509.5,9510.0,27,2615,9510.2235,10.0,27497329,0.27497329000000004,2615.0
2020-05-29 00:05:00+00:00,XBTUSD,9510.0,9510.0,9502.0,9510.0,45,5192,9508.4149,24.0,54608461,0.5460846099999999,5192.0
2020-05-29 00:06:00+00:00,XBTUSD,9510.0,9509.5,9509.5,9509.5,1,2,9509.5,2.0,21032,0.00021032,2.0
2020-05-29 00:07:00+00:00,XBTUSD,9509.5,9509.5,9501.5,9501.5,26,2822,9504.7999,48.0,29691238,0.29691238,2822.0
2020-05-29 00:08:00+00:00,XBTUSD,9501.5,9510.0,9504.5,9504.5,28,4065,9509.3191,25.0,42749614,0.42749614,4065.0
2020-05-29 00:09:00+00:00,XBTUSD,9504.5,9509.5,9509.5,9509.5,2,102,9509.5,2.0,1072632,0.01072632,102.0
2020-05-29 00:10:00+00:00,XBTUSD,9509.5,9510.0,9509.5,9509.5,8,1278,9510.2235,334.0,13438709,0.13438709,1278.0
2020-05-29 00:11:00+00:00,XBTUSD,9509.5,9509.5,9501.5,9502.0,40,13541,9502.9934,2.0,142496797,1.42496797,13541.0
2020-05-29 00:12:00+00:00,XBTUSD,9502.0,9502.0,9501.5,9501.5,7,480,9502.0905,1.0,5051999,0.05051999,480.0
2020-05-29 00:13:00+00:00,XBTUSD,9501.5,9502.0,9501.5,9501.5,6,1063,9502.0905,334.0,11187741,0.11187741,1063.0
2020-05-29 00:14:00+00:00,XBTUSD,9501.5,9502.0,9501.5,9501.5,3,670,9502.0905,334.0,7051416,0.07051415999999999,670.0
2020-05-29 00:15:00+00:00,XBTUSD,9501.5,9502.0,9501.5,9501.5,8,920,9502.0905,250.0,9682666,0.09682666,920.0
2020-05-29 00:16:00+00:00,XBTUSD,9501.5,9510.5,9501.5,9510.5,48,9455,9504.7999,1014.0,99483784,0.99483784,9455.0
2020-05-29 00:17:00+00:00,XBTUSD,9510.5,9502.0,9385.0,9407.5,256,215694,9432.1826,22.0,2286849617,22.86849617,215694.0
2020-05-29 00:18:00+00:00,XBTUSD,9407.5,9430.0,9405.5,9405.5,89,11279,9425.9591,2.0,119669075,1.19669075,11279.0
2020-05-29 00:19:00+00:00,XBTUSD,9405.5,9399.0,9388.0,9388.0,37,13637,9392.3171,62.0,145202492,1.45202492,13637.0
2020-05-29 00:20:00+00:00,XBTUSD,9388.0,9394.0,9388.0,9394.0,36,8710,9391.435,465.0,92752394,0.92752394,8710.0
2020-05-29 00:21:00+00:00,XBTUSD,9394.0,9398.5,9394.0,9398.5,23,7642,9397.613,84.0,81322865,0.81322865,7642.0
2020-05-29 00:22:00+00:00,XBTUSD,9398.5,9425.0,9398.0,9425.0,51,12140,9412.6506,5287.0,128979581,1.2897958099999998,12140.0
2020-05-29 00:23:00+00:00,XBTUSD,9425.0,9425.0,9398.0,9398.0,31,1821,9402.9149,10.0,19366525,0.19366525000000007,1821.0
2020-05-29 00:24:00+00:00,XBTUSD,9398.0,9398.5,9398.0,9398.5,18,1055,9398.4962,52.0,11225704,0.11225704,1055.0
2020-05-29 00:25:00+00:00,XBTUSD,9398.5,9398.0,9398.0,9398.0,14,3259,9397.5,335.0,34679019,0.34679019,3259.0
2020-05-29 00:26:00+00:00,XBTUSD,9398.0,9398.5,9398.0,9398.5,7,674,9398.4962,4.0,7171696,0.07171696,674.0
2020-05-29 00:27:00+00:00,XBTUSD,9398.5,9398.5,9398.0,9398.5,2,12,9398.4962,10.0,127682,0.00127682,12.0
2020-05-29 00:28:00+00:00,XBTUSD,9398.5,9398.5,9398.0,9398.5,2,3,9398.4962,1.0,31922,0.00031922,3.0
2020-05-29 00:29:00+00:00,XBTUSD,9398.5,9398.5,9398.0,9398.0,16,1497,9398.4962,20.0,15929103,0.15929103,1497.0
2020-05-29 00:30:00+00:00,XBTUSD,9398.0,9398.5,9398.0,9398.0,4,11,9398.4962,1.0,117046,0.00117046,11.0
